0_Geographic entity;1_Area (km 2 );2_Notes
[Padania|Padania];160,908;[Northern_Italy|Northern Italy]
[Perm_Krai|Perm Krai];160,600;Federal subject of Russia.
[Eastern_Province_(Kenya)|Eastern Province];159,891;Second largest Province of Kenya.
[Amhara_Region|Amhara Region];159,174;Third largest region of Ethiopia.
[Tindouf_Province|Tindouf Province];159,000;Province of Algeria.
[South_Kordofan|South Kordufan];158,355;State of Sudan.
[Shan_State|Shan State];158,222;Largest state of Myanmar (Myanmar has certain administrative divisions titled as Divisions, and others titled as States).
[Shanxi|Shanxi];156,300;Province of China.
[Odisha|Odisha];155,707;State of India.
[Salta_Province|Salta];155,488;Province of Argentina.
[Kasai-Occidental|Kasai-Occidental];154,742;Province of the Democratic Republic of the Congo.
[Georgia_(U.S._state)|Georgia (U.S. state)];153,909;State of the United States.
[Shandong|Shandong];153,800;Province of China.
[Central_Kalimantan|Central Kalimantan];153,564;Province of Indonesia.
[Acre_(state)|Acre];152,581;State of Brazil.
[Kidal_Region|Kidal Region];151,430;Third largest region of Mali.
[West_Kazakhstan_Region|West Kazakhstan Province];151,300;Province of Kazakhstan.
[Mahajanga_Province|Mahajanga Province];150,023;Second largest Province of Madagascar.
[Assyria|Old Assyrian period];150,000;An ancient Middle Eastern kingdom in the Fertile Crsecent, lasting from 1920-1740 BC.
[Illinois|Illinois];149,998;State of the United States.
[Coahuila|Coahuila];149,982;State of Mexico.
[Mendoza_Province|Mendoza];148,827;Province of Argentina.
[Ceará|Ceará];148,826;State of Brazil.
[Northern_Province,_Zambia|Northern Province];147,826;Largest province of Zambia.
[Central_District_(Botswana)|Central District];147,730;Largest district of Botswana.
[Nepal|Nepal];147,181;Country in South Asia.
[West_Kalimantan|West Kalimantan];146,807;Province of Indonesia.
[Liaoning|Liaoning];145,900;Province of China.
[Iowa|Iowa];145,743;State of the United States.
[Vologda_Oblast|Vologda Oblast];145,700;Federal subject of Russia.
[Zinder_Region|Zinder Department];145,430;Second largest department of Niger.
[Murmansk_Oblast|Murmansk Oblast];144,900;Federal subject of Russia.
[Razavi_Khorasan_Province|Razavi Khorasan Province];144,681;Third largest province of Iran.
[Jambyl_Region|Zhambyl Province];144,000;Province of Kazakhstan.
[Bangladesh|Bangladesh];143,998;Country in Southeast Asia.
[Bashkortostan|Republic of Bashkortostan];143,600;Federal subject of Russia.
[La_Pampa_Province|La Pampa];143,440;Province of Argentina.
[Tajikistan|Tajikistan];143,100;Country in Central Asia.
[Amapá|Amapá];142,815;State of Brazil.
[Govi-Altai_Province|Govi-Altai];141,400;Second largest aimag of Mongolia.
[New_York|New York];141,299;State of the United States.
[Sindh|Sindh];140,914;Third largest province of Pakistan.
[Diffa_Department|Diffa Department];140,216;Third largest department of Niger.
[Omsk_Oblast|Omsk Oblast];139,700;Federal subject of Russia.
[Anhui|Anhui];139,700;Province of China.
[Laâyoune-Boujdour-Sakia_El_Hamra|Laâyoune-Boujdour-Sakia El Hamra];139,480;Largest region of Morocco.
[Republic_of_Yucatán|Republic of Yucatán];139,426;Sovereign country in North America, 1841–1848.
[North_Carolina|North Carolina];139,389;State of the United States.
[Al_Jawf_Region|Al Jawf Province];139,000;Province of Saudi Arabia.
[Balkan_Region|Balkan Province];138,000;Largest province of Turkmenistan.
[Arkansas|Arkansas];137,732;State of the United States.
[Santiago_del_Estero_Province|Santiago del Estero];136,351;Province of Argentina.
[Alabama|Alabama];135,765;State of the United States.
[Chhattisgarh|Chhattisgarh];135,194;State of India.
[Louisiana|Louisiana];134,264;State of the United States.
[La_Paz_Department_(Bolivia)|La Paz Department];133,985;Third largest department of Bolivia.
[Santa_Fe_Province|Santa Fe];133,007;Province of Argentina.
[Magallanes_y_la_Antártica_Chilena_Region|Magallanes and Antártica Chilena];132,297;[Regions_of_Chile|region of Chile]
[Maniema|Maniema];132,250;Province of the Democratic Republic of the Congo.
[Greece|Greece];131,957;Country in Europe.
[England|England];130,395;[Constituent_country|constituent country]
[Tamil_Nadu|Tamil Nadu];130,058;State of India.
[Nicaragua|Nicaragua];130,000;[Archipelago_of_San_Andrés,_Providencia_and_Santa_Catalina|San Andrés y Providencia islands]
[North-West_District_(Botswana)|North-West District];129,930;Second largest district of Botswana.
[Free_State_(province)|Free State];129,825;Third largest province of South Africa.
[Kingdom_of_Poland_(1025–1385)|Kingdom of Poland];129,707;Medieval central European Kingdom, lasting from 1025-1569 when it formed a union with Lithuania. Size is approximate.
[Western_Cape|Western Cape];129,462;Province of South Africa.
[Yazd_Province|Yazd Province];129,285;Province of Iran.
[Niassa_Province|Niassa Province];129,056;Largest province of Mozambique.
[Czechoslovakia|Czechoslovakia];127,900;Central European country between 1918 and 1992.
[South_Darfur|South Darfur];127,300;State of Sudan.
[Northern_Borders_Region|Northern Borders Region];127,000;Province of Saudi Arabia.
[North_Eastern_Province,_Kenya|North Eastern Province];126,902;Third largest province of Kenya.
[Western_Province,_Zambia|Western Province];126,386;Second largest province of Zambia.
[North-Western_Province,_Zambia|North-Western Province];125,827;Third largest province of Zambia.
[Limpopo|Limpopo];125,754;Province of South Africa.
[Mississippi|Mississippi];125,434;State of the United States.
[Antofagasta|Antofagasta];125,306;Largest region of Chile (excluding Antarctic claims).
[Ha'il_Region|Ha'il Province];125,000;Province of Saudi Arabia.
[Pavlodar_Region|Pavlodar Province];124,800;Province of Kazakhstan.
[Sarawak|Sarawak];124,450;Largest state of Malaysia.
[Orenburg_Oblast|Orenburg Oblast];124,000;Federal subject of Russia.
[Dornod_Province|Dornod];123,600;Third largest aimag of Mongolia.
[North_Kazakhstan_Region|North Kazakhstan Province];123,200;Province of Kazakhstan.
[Durango|Durango];123,181;State of Mexico.
[Guelmim-Es_Semara|Guelmim-Es Semara];122,825;Second largest region of Morocco.
[Fars_Province|Fars Province];122,608;Province of Iran.
[Jonglei|Jungoli];122,479;State of Sudan.
[River_Nile_(state)|River Nile];122,123;State of Sudan.
[Akmola_Region|Akmola Province];121,400;Province of Kazakhstan.
[Fujian|Fujian];121,300;Province of China.
[Kirov_Oblast|Kirov Oblast];120,800;Federal subject of Russia.
[North_Korea|North Korea];120,538;Country in Asia.
[Emirate_of_Granada|Emirate of Granada];120,337;Moorish Vassal to the Kingdom of Castile lasting from 1228-1492, measured at its apex in 1228.
[Kayes_Region|Kayes Region];119,743;Region of Mali.
[Pennsylvania|Pennsylvania];119,283;State of the United States.
[Najran_Region|Najran Province];119,000;Province of Saudi Arabia.
[South_Kazakhstan_Region|South Kazakhstan Province];118,600;Province of Kazakhstan.
[Atyrau_Region|Atyrau Province];118,600;Province of Kazakhstan.
[Malawi|Malawi];118,484;Country in Africa.
[Potosí_Department|Potosí Department];118,218;Department of Bolivia.
[Ghanzi_District|Ghanzi District];117,910;Third largest district of Botswana.
[Eritrea|Eritrea];117,600;[Badme|Badme]
[Ohio|Ohio];116,096;State of the United States.
[Bayankhongor_Province|Bayankhongor];116,000;Aimag of Mongolia.
[Puntland|Puntland];116,000;Historic region of Somalia.
[Qeqqata|Qeqqata];115,500;Second smallest municipality of Greenland.
[Kunene_Region|Kunene Region];115,293;Second largest region of Namibia.
[Kanem_Region|Kanem];114,520;Second largest region of Chad.
[Volgograd_Oblast|Volgograd Oblast];113,900;Federal subject of Russia.
[Benin|Benin];112,622;Country in Africa.
[Southern_Nations,_Nationalities,_and_Peoples'_Region|Southern Nations, Nationalities, and People's Region];112,343;Region of Ethiopia.
[Magallanes_y_la_Antártica_Chilena_Region|Magallanes and Antártica Chilena];112,310;Second largest region of Chile (excluding Antarctic claims).
[Honduras|Honduras];112,088;Country in Central America.
[Kingdom_of_Sicily|Kingdom of Sicily];111,900;A medieval kingdom centered on the Island of Sicily and in southern Italy, lasting from 1130-1282.
[Kingdom_of_the_Two_Sicilies|Kingdom of the Two Sicilies];111,900;A kingdom centered on the Island of Sicily and in southern Italy, lasting from 1811-1861.
[Liberia|Liberia];111,369;Country in Africa.
[Bulgaria|Bulgaria];110,912;Country in Europe.
[Cuba|Cuba];110,861;[Caribbean|Caribbean]
[Navoiy_Region|Navoiy Province];110,800;Second largest province of Uzbekistan.
[Virginia|Virginia];110,785;State of the United States.
[Amazonas_Department|Amazonas Department];109,665;Largest district of Colombia.
[Hardap_Region|Hardap Region];109,651;Third largest region of Namibia.
[Dornogovi_Province|Dornogovi];109,500;Aimag of Mongolia.
[Tennessee|Tennessee];109,151;State of the United States.
[East_Region_(Cameroon)|East Province];109,011;Largest province of Cameroon.
[Guatemala|Guatemala];108,889;Country in Central America.
[East_Germany|East Germany];108,333;[Germany|Germany]
[Tabuk_Region|Tabuk Province];108,000;Province of Saudi Arabia.
[Aysén_Region|Aisén];107,153;Third largest region of Chile.
[Isfahan_Province|Isfahan Province];107,029;Province of Iran.
[Kgalagadi_District|Kgalagadi District];106,940;District of Botswana.
[Tahoua_Department|Tahoua Department];106,677;Department of Niger.
[Otjozondjupa_Region|Otjozondjupa_Region];105,185;Region of Namibia.
[Zambezia_Province|Zambezia Province];105,008;Second largest province of Mozambique.
[North_West_(South_African_province)|North West];104,882;Province of South Africa.
[Kentucky|Kentucky];104,659;State of the United States.
[Kingdom_of_Aragon|Kingdom of Aragon];103,088;Constituent Kingdom of Spain lasting from 1035-1515.
[Iceland|Iceland];103,000;Country in Europe.
[Lunda_Norte_Province|Lunda Norte Province];102,783;Third largest province of Angola.
[Catamarca_Province|Catamarca];102,602;Province of Argentina.
[Jiangsu|Jiangsu];102,600;Province of China.
[Fianarantsoa_Province|Fianarantsoa Province];102,373;Third largest Province of Madagascar.
[Zhejiang|Zhejiang];102,000;Province of China.
[Ucayali_Region|Ucayali Region];101,831;Second largest region of Peru.
[Rostov_Oblast|Rostov Oblast];100,800;Federal subject of Russia.
[Tete_Province|Tete Province];100,724;Third largest province of Mozambique.
[Khövsgöl_Province|Khövsgöl];100,600;Aimag of Mongolia.
[Vichada_Department|Vichada Department];100,242;Second largest district of Colombia.
[Saratov_Oblast|Saratov Oblast];100,200;Federal subject of Russia.
